timestamp[ns],ang_vel_x[rad/s],ang_vel_y[rad/s],ang_vel_z[rad/s],lin_acc_x[m/s^2],lin_acc_y[m/s^2],lin_acc_z[m/s^2]
1652274620208642560,0.007681100629270077,-0.0025584681425243616,0.013337777927517891,0.11505042976685799,-9.822082546931505,-0.15367833051793275
1652274620211642880,0.003570002969354391,-0.0005950022023171186,0.015610209666192532,0.09809431739673018,-9.835229613274334,-0.13289228459610603
1652274620214646272,0.004651523660868406,-0.0018833098001778126,0.01386033184826374,0.10079026021612808,-9.833938988941908,-0.12013135889349505
1652274620217652736,0.00346924876794219,-0.001899596070870757,0.015179434791207314,0.14253653044975362,-9.82237013170123,-0.11253754276363179
1652274620220656384,0.0030814972706139088,-0.002425109501928091,0.014665051363408566,0.1541690914432518,-9.822455471897126,-0.13561251247338948
1652274620223662592,0.0066475351341068745,-0.003117902670055628,0.013797919265925884,0.13546966993659734,-9.837655379116535,-0.1531842359912116
1652274620226666240,0.0016706041060388088,-0.004606239032000303,0.013621303252875805,0.13790980223086663,-9.860988323909044,-0.15671366135952994
1652274620229666816,0.002756427740678191,-0.002273441292345524,0.013691609725356102,0.1498182301568333,-9.852254397833347,-0.14670069179134443
1652274620232670208,0.0013586762361228466,-0.003164278343319893,0.012138199992477894,0.1560207471919246,-9.840565129083394,-0.18437152014644814
1652274620236675584,0.0006163285579532385,-0.0029567372985184193,0.0157763734459877,0.13060683140689505,-9.834055893319844,-0.2090071085027419
1652274620239677952,0.005025243386626244,-0.000656177697237581,0.014065529219806194,0.13428635103669948,-9.844363352322578,-0.20617694484442473
1652274620242683392,0.0030665386002510786,-0.0005974312080070376,0.014573526568710804,0.16224743968704713,-9.831127438652516,-0.20103404726432636
1652274620245685760,0.0009630485437810421,0.0005471083568409085,0.014937114901840687,0.17264648596337065,-9.821147311908007,-0.17949291779203339
1652274620249690112,0.0010045866947621107,-0.0015350434696301818,0.014998079277575016,0.13806633536629379,-9.82910148578286,-0.17603874048385768
1652274620252691712,0.00020946573931723833,0.0008626607013866305,0.015296529978513718,0.14181859143874606,-9.843577754902839,-0.18735404308857395
1652274620255696128,3.6954006645828485e-05,0.0004904080997221172,0.013205521740019321,0.1504191186594311,-9.84510569512248,-0.1989037937699817
1652274620258697472,-0.00034808559576049447,0.0001833678688853979,0.013797749765217304,0.12248908273447304,-9.837448458367586,-0.20225217261612413
1652274620261701888,8.787054684944451e-05,-0.00012504938058555126,0.015014776960015297,0.10170717413164675,-9.816025731110573,-0.2000649830364622
1652274620264703488,0.0007421153131872416,-0.0007396782748401165,0.011729576624929905,0.1167108189934399,-9.818546189498901,-0.19900504392106086
