time_sec,pN_fused,pE_fused,vN_fused,vE_fused,pN_ins,pE_ins,vN_ins,vE_ins
1652274616.5449393,1.0307339337406132,0.12210697115836103,3.3954544817547503,0.2929824629461407,160.602921240471,9.95598560838104,55.2703865301883,4.1481658333621105
1652274616.5479376,1.0409568390099122,0.12298768286357392,3.42374355584746,0.2944970620688668,160.76867930200302,9.968425208440635,55.29867560428101,4.149680432484836
1652274616.5509388,1.0512743592510734,0.12387381591758882,3.4521096288383504,0.2960441376659644,160.93467805831554,9.980881086045406,55.3270416772719,4.151227508081934
1652274616.5539367,1.061666282424121,0.12476366754818267,3.480423868679737,0.29758286805638057,161.1005918577687,9.993328839103441,55.355355917113286,4.15276623847235
1652274616.5569375,1.0721528634847703,0.12565901439193633,3.5086918569919723,0.299149533993216,161.26674639491813,10.005792943571006,55.38362390542552,4.154332904409185
1652274616.5599358,1.0827151592236335,0.12655831632879197,3.5368968947044386,0.30073062154678953,161.4328438469197,10.018251133862245,55.41182894313799,4.155913991962759
1652274616.562937,1.0933721415598254,0.12746325441397413,3.5651823086990637,0.3023427206425542,161.59918206532726,10.030725816498181,55.440114357132614,4.157526091058524
1652274616.565935,1.1041030282690447,0.128372114556236,3.593476423755497,0.3039650123794644,161.76543482831661,10.043192578067885,55.46840847218905,4.1591483827954345
1652274616.568936,1.1149298070985614,0.12928682915230524,3.6217594037288454,0.3056236408484591,161.93194284321748,10.055677037214709,55.496691452162395,4.1608070112644295
1652274616.571934,1.1258301847439176,0.1302056398880331,3.649968062272772,0.30732221116023317,162.09836509714296,10.068153749377878,55.52490011070632,4.1625055815762035
1652274616.5749352,1.1368264311634277,0.13113047919075793,3.6782051998975773,0.3090137994631227,162.26504257963384,10.080648333231359,55.553137248331126,4.164197169879093
1652274616.5779333,1.1478970180413457,0.13205944813674156,3.706439607456773,0.3106557608593618,162.4316483227745,10.093136190531727,55.58137165589032,4.165839131275332
1652274616.5809345,1.1590627281755264,0.1329941945045381,3.7346685067875645,0.31228256537201327,162.59849526898003,10.105640681450277,55.609600555221114,4.167465935787983
1652274616.5839329,1.1703025249983452,0.13393295440320435,3.762847944567529,0.31391805863158867,162.76527022206557,10.118138329703328,55.637779993001075,4.169101429047559
1652274616.5869336,1.181636609640341,0.13487734184322214,3.791113518117308,0.3154990097133083,162.93227226279632,10.130651474767157,55.66604556655086,4.1706823801292785
1652274616.5899317,1.1930448599276198,0.13582555012459352,3.8194197727515418,0.3170581756862274,163.0992023893637,10.14315758447597,55.69435182118509,4.172241546102198
1652274616.5929327,1.2045498357809625,0.1367793464184773,3.847783490426872,0.31857549709096966,163.26638860128844,10.155681125320609,55.72271553886042,4.17375886750694
1652274616.595931,1.216129026558733,0.13773677714006008,3.8761259999532918,0.3200795159183691,163.43350294832894,10.168197444396574,55.75105804838684,4.17526288633434
1652274616.5989318,1.227803212513408,0.13869949820640692,3.9045068076646174,0.3215565812352474,163.60084509037236,10.180728923086733,55.77943885609816,4.176739951651219
1652274616.6019301,1.2395525236680394,0.13966580292967,3.9328816311636237,0.3230178424748538,163.7681295577897,10.193254116164379,55.80781367959717,4.1782012128908255
1652274616.604931,1.2513980453044478,0.14063743115682023,3.961269847505695,0.3244994760111195,163.93565631549748,10.205795488942284,55.83620189593924,4.179682846427091
1652274616.6079292,1.2633164443767604,0.14161248384455644,3.989587701161633,0.3259658235311024,164.10309659084993,10.218328443057462,55.864519749595175,4.181149193947074
1652274616.6109364,1.2753567874121092,0.1425948874945911,4.018004021292077,0.3273949082213247,164.27113688953915,10.23090427750488,55.89293606972562,4.182578278637296
1652274616.613941,1.2874711716148166,0.1435806634195614,4.046381338596363,0.32882308886718137,164.4391051495871,10.243472628030862,55.921313387029905,4.184006459283152
1652274616.6169422,1.29965824202233,0.14456977358881548,4.074694024649855,0.33028840868462506,164.6069867360486,10.256032469677812,55.949626073083394,4.185471779100596
1652274616.6199408,1.3119186817353714,0.14556237916066964,4.102944945565849,0.33177349092354597,164.77479561200698,10.268584950530993,55.97787699399939,4.186956861339517
1652274616.622942,1.3242754144563444,0.14656037550584722,4.131187976866888,0.3332594710945319,164.94284686078194,10.281153678353869,56.006120025300426,4.188442841510503
1652274616.6259403,0.8921628449002477,0.11556812953504467,2.993565215311156,0.25083654590557825,165.1108106790611,10.293713987315455,56.03429410600118,4.189922404594471
1652274616.6289413,0.9011889877408054,0.1163232128071978,3.021681815470851,0.25236980602621445,165.27901671688676,10.306290613889088,56.06241070616087,4.191455664715107
1652274616.6319394,0.910290147780523,0.11708212825457562,3.049773466767536,0.2539086443741945,165.44713483079244,10.318858971766188,56.09050235745755,4.192994503063088
1652274616.6349406,0.9194850182078588,0.11784643040682093,3.077917842075012,0.25544139950676337,165.61550959620487,10.331444817219914,56.11864673276503,4.194527258195657
1652274616.6379385,0.9287548004715096,0.11861458479575258,3.1060266489823385,0.25700042130516704,165.78379633233448,10.34402241403857,56.146755539672355,4.19608627999406
1652274616.6409395,0.9381176702358918,0.11938811539288516,3.134155916640915,0.2585436658897018,165.95232551865735,10.356616479531205,56.17488480733093,4.197629524578595
1652274616.6439376,0.9475568737448516,0.1201655329900297,3.162273165817178,0.26003343261539485,166.12079525445884,10.369204347964052,56.203002056507195,4.199119291304288
1652274616.6469388,0.9570894171198905,0.12094812291637969,3.190451829277202,0.2615040406942676,166.28950769281897,10.381808481191882,56.23118071996722,4.200589899383161
1652274616.6499367,0.9666966767847069,0.12173430024982372,3.2186264843918884,0.2629610278337417,166.45813190634973,10.394404100955049,56.25935537508191,4.202046886522635
1652274616.6529377,0.9763975378990141,0.12252557714591719,3.246821174328847,0.26441064515126184,166.62699908402257,10.407015912746644,56.28755006501887,4.203496503840155
1652274616.6559358,0.98617464186966,0.1233204572267863,3.2750047111451326,0.2658148186286188,166.79580672028575,10.419621243663215,56.315733601835156,4.204900677317512
1652274616.658937,0.996045622087425,0.12412030121823177,3.3032630489239168,0.2672211946075531,166.96485759548864,10.432242630956141,56.34399193961394,4.206307053296446
1652274616.6619349,1.0059911853889656,0.12492353391285095,3.3315002755817833,0.2686216391993228,167.1338201126561,10.444855306080482,56.37222916627181,4.207707497888216
1652274616.664936,1.0160316950158068,0.12573179189916472,3.3597461169540863,0.2700216703695792,167.30304051726804,10.457485107368276,56.40047500764411,4.209107529058472
1652274616.6679344,1.026147100605077,0.12654349543591956,3.3877441636276795,0.27142589459771493,167.47218645514985,10.470107261740734,56.428473054317706,4.210511753286608
1652274616.6709354,1.036355779009958,0.1273599286808954,3.4155741028682916,0.2726656115332949,167.64157502853985,10.482745238287192,56.45630299355832,4.211751470222188
1652274616.6739335,1.0466376058895914,0.12817947726475604,3.4435132933519834,0.27406168002260073,167.81087380928543,10.495374229300776,56.48424218404201,4.213147538711493
1652274616.6769345,1.0570142902580955,0.1290047591325655,3.4717683435103686,0.2759267693727433,167.98043038863904,10.508021054470065,56.512497234200396,4.215012628061636
1652274616.6799326,1.0674651489409837,0.1298344783437747,3.5000814951082995,0.27758542749956805,168.14989820118788,10.520660216110997,56.54081038579832,4.216671286188461
1652274616.6829336,1.0780114393695077,0.13066949899260047,3.52822985632426,0.27889318880609537,168.3196243866015,10.533316780061304,56.568958747014285,4.217979047494988
1652274616.6859322,1.08863270369852,0.13150823167094972,3.5560890688364886,0.2805364235565312,168.48928976164967,10.545966971981336,56.59681795952651,4.219622282245424
1652274616.6889393,1.0993689764646926,0.13235475394952945,3.584213219894501,0.28245457852094563,168.65953181163925,10.558659239304912,56.62494211058453,4.221540437209838
1652274616.691944,1.1101798205054878,0.13320615704854913,3.6124226925725096,0.2843132053143703,168.82969907021092,10.57134529498315,56.653151583262535,4.223399064003263
1652274616.694945,1.1210639092436383,0.1340620822164839,3.640387207359389,0.2860480514657914,168.99977663236075,10.584023771858545,56.681116098049415,4.225133910154684
1652274616.697944,1.1320221102485013,0.13492180005608964,3.668042479382317,0.28732958400626907,169.16979252251133,10.596695957345814,56.70877137007234,4.226415442695162
1652274616.700945,1.1430720633294438,0.13578613019765026,3.6959222433732424,0.28868161030767686,169.34002237057737,10.609381830788855,56.736651134063266,4.22776746899657
1652274616.7039433,1.1541959024169162,0.13665452160365552,3.724244497651273,0.29057964818071835,169.5101767419574,10.622060673030564,56.764973388341296,4.229665506869611
1652274616.706944,1.1654143545637194,0.13752948837401613,3.75265000814131,0.2925698052779261,169.68056151066273,10.634756174696426,56.793378898831335,4.231655663966818
1652274616.7099423,1.176707746161207,0.1384097129464625,3.780616885247673,0.29458477739260447,169.85088543455277,10.647446850104574,56.8213457759377,4.233670636081497
1652274616.7129436,1.1880954395402605,0.13929689411955343,3.8084264077537022,0.29665491507288483,170.02145302291692,10.660155574579147,56.84915529844373,4.235740773761777
1652274616.7159414,1.199555076996793,0.14018883069196192,3.8363876669761043,0.2983629716952135,170.1919296142394,10.672856953581277,56.877116557666135,4.237448830384106
1652274616.7189426,1.2111106272334569,0.14108652888096182,3.864519628420681,0.29988552285069126,170.36266505946116,10.685576195071757,56.905248519110714,4.238971381539584
1652274616.7219408,1.2227393910237647,0.14198836622209535,3.8924575839922295,0.30168587636427696,170.533324355544,10.698288483248593,56.93318647468226,4.24077173505317
